Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
364,Perfect Blue,"$1,733,525",505,"$800,233",505,"Oct 3, 2025",GKIDS
557,Summer Wars,"$245,265",438,"$90,112",438,"Jul 27, 2025",-
7,A Minecraft Movie,"$423,949,195","4,289","$162,753,003","4,263","Apr 4, 2025",Warner Bros.
315,Princess Mononoke,"$6,851,056",630,"$3,881,024",330,"Mar 28, 2025",GKIDS
118,Dog Man,"$97,970,355","3,887","$36,001,940","3,885","Jan 31, 2025",Universal Pictures
270,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$17,657,658","1,949","$11,505,414","1,949","Feb 23, 2024",Sony Pictures Releasing
413,Soul,"$946,154","1,360","$431,840","1,350","Jan 12, 2024",Walt Disney Studios Motion Pictures
95,Migration,"$127,630,880","3,839","$12,453,275","3,761","Dec 22, 2023",Universal Pictures
156,Wish,"$63,973,821","3,900","$19,698,228","3,900","Nov 22, 2023",Walt Disney Studios Motion Pictures
296,Suzume,"$10,932,037","2,170","$5,001,705","2,170","Apr 14, 2023",Crunchyroll
55,Puss in Boots: The Last Wish,"$186,090,535","4,121","$12,429,515","4,099","Dec 21, 2022",Universal Pictures
212,Strange World,"$37,968,963","4,174","$12,151,384","4,174","Nov 23, 2022",Walt Disney Studios Motion Pictures
286,One Piece Film: Red,"$12,775,324","2,367","$9,340,245","2,367","Nov 4, 2022",Crunchyroll
211,Dragon Ball Super: Super Hero,"$38,112,140","3,018","$21,126,919","3,018","Aug 19, 2022",Crunchyroll
123,DC League of Super-Pets,"$93,657,117","4,332","$23,003,441","4,314","Jul 29, 2022",Warner Bros.
268,Paws of Fury: The Legend of Hank,"$17,811,382","3,481","$6,321,423","3,475","Jul 15, 2022",Paramount Pictures
10,Minions: The Rise of Gru,"$370,549,695","4,427","$107,010,140","4,391","Jul 1, 2022",Universal Pictures
224,The Bob's Burgers Movie,"$31,933,830","3,425","$12,416,819","3,425","May 27, 2022",20th Century Studios
121,The Bad Guys,"$97,459,240","4,042","$23,950,245","4,008","Apr 22, 2022",Universal Pictures
220,Jujutsu Kaisen 0,"$34,542,754","2,418","$18,009,921","2,286","Mar 18, 2022",Crunchyroll
69,Sing 2,"$162,790,990","3,892","$22,326,230","3,892","Dec 22, 2021",Universal Pictures
122,Encanto,"$96,093,622","3,980","$27,206,494","3,980","Nov 24, 2021",Walt Disney Studios Motion Pictures
288,My Hero Academia: World Heroes' Mission,"$12,271,658","1,585","$6,255,779","1,585","Oct 29, 2021",FUNimation Entertainment
246,Ron's Gone Wrong,"$23,009,270","3,560","$7,300,225","3,560","Oct 22, 2021",20th Century Studios
169,The Boss Baby 2: Family Business,"$57,300,280","3,688","$16,000,665","3,644","Jul 2, 2021",Universal Pictures
204,Peter Rabbit 2: The Runaway,"$40,501,717","3,346","$10,101,066","3,346","Jun 11, 2021",Sony Pictures Releasing
269,Spirit Untamed,"$17,716,215","3,394","$6,101,050","3,211","Jun 4, 2021",Universal Pictures
359,Scoob!,"$2,188,425",-,"$850,000","2,500","May 21, 2021",Warner Bros.
187,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$49,505,008","2,087","$21,234,994","1,614","Apr 23, 2021",FUNimation Entertainment
175,Raya and the Last Dragon,"$54,723,032","2,375","$8,502,498","2,045","Mar 5, 2021",Walt Disney Studios Motion Pictures
166,The Croods: A New Age,"$58,568,815","2,211","$9,724,200","2,211","Nov 25, 2020",Universal Pictures
641,Henchmen,"$49,676",181,"$30,223",181,"Oct 9, 2020",Vertical Entertainment
566,Jiang Ziya,"$214,670",55,-,-,"Oct 1, 2020",Well Go USA Entertainment
334,The SpongeBob Movie: Sponge on the Run,"$4,810,790",326,"$865,824",300,"Aug 14, 2020",Paramount Pictures
491,Trolls World Tour,"$450,000",-,-,-,"Apr 10, 2020",Universal Pictures
559,Tokyo Godfathers,"$237,571",519,"$5,800",4,"Mar 9, 2020",Fathom Events
159,Onward,"$61,555,145","4,310","$39,119,861","4,310","Mar 6, 2020",Walt Disney Studios Motion Pictures
284,My Hero Academia: Heroes Rising,"$13,304,000","1,231","$5,891,252","1,196","Feb 26, 2020",FUNimation Entertainment
158,The Call of the Wild,"$62,342,368","3,914","$24,791,624","3,752","Feb 21, 2020",20th Century Studios
539,Ride Your Wave,"$332,432",605,"$19,643",12,"Feb 19, 2020",Fathom Events
81,Sonic the Hedgehog,"$148,974,665","4,198","$58,018,348","4,167","Feb 14, 2020",Paramount Pictures
309,Weathering with You,"$8,056,636","1,020","$1,808,533",486,"Jan 15, 2020",GKIDS
