Brand,Total,Releases,#1 Release,Lifetime Gross
Marvel Comics,"$17,223,329,306",86,Avengers: Endgame,"$858,373,000"
Pixar,"$7,086,850,035",35,Inside Out 2,"$652,980,194"
Legendary Pictures,"$7,035,328,052",65,Jurassic World,"$652,270,625"
DC Comics,"$6,810,209,207",65,The Dark Knight,"$533,345,358"
DreamWorks Animation,"$6,720,088,102",56,Shrek 2,"$441,550,292"
Lucasfilm,"$6,555,269,113",45,Star Wars: Episode VII - The Force Awakens,"$936,662,225"
Illumination Entertainment,"$4,211,009,216",21,The Super Mario Bros. Movie,"$574,934,330"
Vertigo Entertainment,"$3,579,473,975",50,A Minecraft Movie,"$423,949,195"
Walt Disney Animation Studios,"$3,338,350,473",18,Frozen II,"$477,373,578"
Bad Robot,"$3,077,078,931",15,Star Wars: Episode VII - The Force Awakens,"$936,662,225"
Blumhouse Productions,"$2,516,991,927",52,Get Out,"$176,040,665"
Hasbro,"$2,079,485,824",17,Transformers: Revenge of the Fallen,"$402,111,870"
Nickelodeon,"$1,930,746,182",26,Teenage Mutant Ninja Turtles,"$191,204,754"
Sony Pictures Animation,"$1,918,877,120",22,Spider-Man: Into the Spider-Verse,"$190,241,310"
Walden Media,"$1,842,879,641",39,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957"
Blue Sky,"$1,740,428,763",13,Ice Age: Dawn of the Dinosaurs,"$196,573,705"
Stephen King,"$1,730,092,967",53,It,"$327,481,748"
MTV,"$1,520,846,880",37,The Longest Yard,"$158,119,460"
Platinum Dunes,"$1,422,911,399",19,Teenage Mutant Ninja Turtles,"$191,204,754"
Saturday Night Live - Alumni Debuts,"$1,023,327,777",29,Bridesmaids,"$169,106,725"
Dark Horse Comics,"$947,685,500",17,300,"$210,614,939"
Tim Burton-Johnny Depp,"$889,998,246",9,Alice in Wonderland,"$334,191,110"
Warner Animation Group,"$787,318,055",14,The Lego Movie,"$257,760,692"
Tyler Perry,"$765,635,362",16,Madea Goes to Jail,"$90,508,336"
CBS Films,"$652,824,187",29,Scary Stories to Tell in the Dark,"$68,947,075"
John Grisham,"$645,661,825",10,The Firm,"$158,348,367"
Robert Ludlum,"$645,459,186",6,The Bourne Ultimatum,"$227,471,070"
MonsterVerse,"$580,145,113",4,Godzilla,"$200,676,069"
Hanna-Barbera,"$578,636,355",12,Scooby-Doo,"$153,294,164"
Nicholas Sparks,"$575,143,746",12,The Notebook,"$81,001,787"
Philip K. Dick,"$495,283,266",15,Minority Report,"$132,072,926"
Dark Castle,"$454,625,110",16,Unknown,"$63,686,397"
National Lampoon,"$436,840,032",22,National Lampoon's Animal House,"$120,091,123"
Sony Pictures Classics,"$417,222,753",38,"Crouching Tiger, Hidden Dragon","$128,078,872"
Disney Channel,"$359,952,780",8,High School Musical 3: Senior Year,"$90,559,416"
Roald Dahl,"$356,285,229",8,Charlie and the Chocolate Factory,"$206,459,076"
Saturday Night Live,"$346,533,876",11,Wayne's World,"$121,697,323"
Laika,"$341,811,086",10,Coraline,"$75,286,229"
DisneyToon Studios,"$337,576,791",8,Planes,"$90,288,712"
Aardman,"$333,005,399",8,Chicken Run,"$106,834,564"
Alan Moore,"$276,088,604",4,Watchmen,"$107,509,799"
Amazon Studios,"$204,376,048",43,Manchester by the Sea,"$47,695,371"
Clive Barker,"$171,686,009",10,Candyman,"$61,186,570"
Disneynature,"$151,620,585",8,Earth,"$32,011,576"
Studio Ghibli,"$84,163,980",32,The Secret World of Arrietty,"$19,202,743"
Broken Lizard,"$73,338,237",5,Super Troopers 2,"$30,617,396"
