Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
1,The Lord of the Rings: The Return of the King,"$377,027,325","3,703","$72,629,713","3,703","Dec 17, 2003",New Line Cinema
2,The Lord of the Rings: The Two Towers,"$339,789,881","3,622","$62,007,528","3,622","Dec 18, 2002",New Line Cinema
3,The Lord of the Rings: The Fellowship of the Ring,"$313,364,114","3,381","$47,211,490","3,359","Dec 19, 2001",New Line Cinema
4,The Hobbit: An Unexpected Journey,"$303,003,568","4,100","$84,617,303","4,045","Dec 14, 2012",Warner Bros.
5,The Hobbit: The Desolation of Smaug,"$258,366,855","3,928","$73,645,197","3,903","Dec 13, 2013",Warner Bros.
6,The Hobbit: The Battle of the Five Armies,"$255,119,788","3,875","$54,724,334","3,875","Dec 17, 2014",Warner Bros.
7,The Last Airbender,"$131,772,187","3,203","$40,325,019","3,169","Jul 1, 2010",Paramount Pictures
8,Dungeons & Dragons: Honor Among Thieves,"$93,549,650","3,856","$37,205,784","3,855","Mar 31, 2023",Paramount Pictures
9,The Scorpion King,"$91,047,077","3,466","$36,075,875","3,444","Apr 19, 2002",Universal Pictures
10,Eragon,"$75,030,163","3,030","$23,239,907","3,020","Dec 15, 2006",Twentieth Century Fox
11,The Sorcerer's Apprentice,"$63,150,991","3,504","$17,619,622","3,504","Jul 14, 2010",Walt Disney Studios Motion Pictures
12,Willow,"$57,269,863","1,209","$8,300,169","1,024","May 20, 1988",Metro-Goldwyn-Mayer (MGM)
13,DragonHeart,"$51,367,375","2,193","$15,027,150","2,130","May 31, 1996",Universal Pictures
14,Warcraft,"$47,365,290","3,406","$24,166,110","3,400","Jun 10, 2016",Universal Pictures
15,The Dark Crystal,"$40,577,001","1,052","$4,657,335",858,"Dec 17, 1982",Universal Pictures
16,Conan the Barbarian,"$39,565,475","1,683","$9,603,139","1,395","May 14, 1982",Universal Pictures
17,The Sword and the Sorcerer,"$39,103,425",660,"$1,798,879",233,"Apr 23, 1982",Group 1 International Distribution
18,Excalibur,"$34,967,437",692,"$4,519,706",692,"Apr 10, 1981",Warner Bros.
19,Conan the Destroyer,"$31,042,035","1,249","$6,958,872","1,117","Jun 29, 1984",Universal Pictures
20,Quest for Camelot,"$22,510,798","3,107","$6,041,602","3,107","May 15, 1998",Warner Bros.
21,Conan the Barbarian,"$21,295,021","3,015","$10,021,215","3,015","Aug 19, 2011",Lionsgate
22,The Legend of Hercules,"$18,848,538","2,104","$8,868,318","2,104","Jan 10, 2014",Lionsgate
23,Krull,"$16,519,460","1,289","$5,469,415","1,281","Jul 29, 1983",Columbia Pictures
24,Highlander II: The Quickening,"$15,556,340","1,009","$5,280,490",960,"Nov 1, 1991",InterStar Releasing
25,Legend,"$15,502,112","1,187","$4,261,154","1,187","Apr 18, 1986",Universal Pictures
26,Dungeons & Dragons,"$15,391,970","2,078","$7,237,422","2,078","Dec 8, 2000",New Line Cinema
27,Dragonslayer,"$14,110,013",868,"$2,407,939",868,"Jun 26, 1981",Paramount Pictures
28,The Beastmaster,"$14,056,528","1,061","$2,955,641","1,013","Aug 20, 1982",Metro-Goldwyn-Mayer (MGM)
29,Highlander: Endgame,"$12,811,858","1,546","$5,067,331","1,543","Sep 1, 2000",Miramax
30,Highlander: The Final Dimension,"$12,303,080","1,594","$5,536,435","1,594","Jan 27, 1995",Miramax
31,Deathstalker,"$11,919,250",250,"$456,700",166,"Sep 2, 1983",New World Pictures
32,He-Man and She-Ra: The Secret of the Sword,"$7,660,857",-,-,-,"Mar 22, 1985",Atlantic Releasing Corporation
33,Red Sonja,"$6,948,633","1,091","$2,263,553","1,091","Jul 5, 1985",Metro-Goldwyn-Mayer (MGM)
34,Kull: The Conqueror,"$6,112,613","2,091","$3,450,145","2,091","Aug 29, 1997",Universal Pictures
35,Highlander,"$5,900,000","1,040","$2,453,021","1,040","Mar 7, 1986",Twentieth Century Fox
36,In the Name of the King: A Dungeon Siege Tale,"$4,775,656","1,632","$3,265,000","1,632","Jan 11, 2008",Freestyle Releasing
37,The Sorcerer and the White Snake,"$18,759",4,"$5,530",1,"Feb 8, 2013",Magnolia Pictures
