Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
1,Avengers: Endgame,"$858,373,000","4,662","$357,115,007","4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures
2,Spider-Man: No Way Home,"$804,793,477","4,336","$260,138,569","4,336","Dec 17, 2021",Sony Pictures Releasing
3,Black Panther,"$700,059,566","4,084","$202,003,951","4,020","Feb 16, 2018",Walt Disney Studios Motion Pictures
4,Avengers: Infinity War,"$678,815,482","4,474","$257,698,183","4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures
5,The Avengers,"$623,357,910","4,349","$207,438,708","4,349","May 4, 2012",Walt Disney Studios Motion Pictures
6,Incredibles 2,"$608,581,744","4,410","$182,687,905","4,410","Jun 15, 2018",Walt Disney Studios Motion Pictures
7,The Dark Knight,"$533,345,358","4,366","$158,411,483","4,366","Jul 18, 2008",Warner Bros.
8,Avengers: Age of Ultron,"$459,005,868","4,276","$191,271,109","4,276","May 1, 2015",Walt Disney Studios Motion Pictures
9,Black Panther: Wakanda Forever,"$453,829,060","4,396","$181,339,761","4,396","Nov 11, 2022",Walt Disney Studios Motion Pictures
10,The Dark Knight Rises,"$448,139,099","4,404","$160,887,295","4,404","Jul 20, 2012",Warner Bros.
11,Captain Marvel,"$426,829,839","4,310","$153,433,423","4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures
12,Wonder Woman,"$412,563,408","4,165","$103,251,471","4,165","Jun 2, 2017",Warner Bros.
13,Doctor Strange in the Multiverse of Madness,"$411,331,607","4,534","$187,420,998","4,534","May 6, 2022",Walt Disney Studios Motion Pictures
14,Iron Man 3,"$409,013,994","4,253","$174,144,585","4,253","May 3, 2013",Walt Disney Studios Motion Pictures
15,Captain America: Civil War,"$408,084,349","4,226","$179,139,142","4,226","May 6, 2016",Walt Disney Studios Motion Pictures
16,Spider-Man,"$403,706,375","3,876","$114,844,116","3,615","May 3, 2002",Sony Pictures Releasing
17,Spider-Man: Far from Home,"$390,532,085","4,634","$92,579,212","4,634","Jul 2, 2019",Sony Pictures Releasing
18,Guardians of the Galaxy Vol. 2,"$389,813,101","4,347","$146,510,104","4,347","May 5, 2017",Walt Disney Studios Motion Pictures
19,Spider-Man 2,"$373,585,825","4,166","$88,156,227","4,152","Jun 30, 2004",Sony Pictures Releasing
20,The Batman,"$369,345,583","4,417","$134,008,624","4,417","Mar 4, 2022",Warner Bros.
21,Deadpool,"$363,070,709","3,856","$132,434,639","3,558","Feb 12, 2016",Twentieth Century Fox
22,Thor: Love and Thunder,"$343,256,830","4,375","$144,165,107","4,375","Jul 8, 2022",Walt Disney Studios Motion Pictures
23,Spider-Man 3,"$336,530,303","4,324","$151,116,516","4,252","May 4, 2007",Sony Pictures Releasing
24,Aquaman,"$335,061,807","4,184","$67,873,522","4,125","Dec 21, 2018",Warner Bros.
25,Spider-Man: Homecoming,"$334,201,140","4,348","$117,027,503","4,348","Jul 7, 2017",Sony Pictures Releasing
26,Guardians of the Galaxy,"$333,176,600","4,088","$94,320,883","4,080","Aug 1, 2014",Walt Disney Studios Motion Pictures
27,Batman v Superman: Dawn of Justice,"$330,360,194","4,256","$166,007,347","4,242","Mar 25, 2016",Warner Bros.
28,Suicide Squad,"$325,100,054","4,255","$133,682,248","4,255","Aug 5, 2016",Warner Bros.
29,Iron Man,"$318,604,126","4,154","$98,618,668","4,105","May 2, 2008",Paramount Pictures
